"Workshop ""Einstieg in die Literaturrecherche mit TUfind""","Gut recherchiert ist halb geschrieben. Für Ihr Studium ist das Recherchieren und Beschaffen von Fachliteratur von zentraler Bedeutung. Sie begründen Ihre Hypothesen, Argumente, Ergebnisse u. Ä. mithilfe der Ihnen vorliegenden Literatur.Wie finden Sie die passende Literatur für Ihre wissenschaftliche Arbeit?Mit welchen Recherchetricks können Sie suchen?Wie können Sie auf gedruckte Literatur oder elektronische Volltexte zugreifen?Wie beschaffen Sie Literatur, die nicht in der ULB vorhanden ist?Antworten auf diese Fragen erhalten Sie im Workshop.",;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/65/24/7c/80/95/25/11/ea/b2/de/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/25/59/9d/60/95/25/11/ea/b5/b0/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ca/3d/57/40/4e/19/11/ed/97/e0/00/50/56/bd/73/ad;
"Workshop ""Einstieg in wissenschaftliches Zitieren""","Egal, ob Haus- oder Abschlussarbeit – immer wieder müssen Sie für Ihr Studium aus Fachtexten zitieren. Wie Guttenberg & Co. gezeigt haben, ist der Grat zwischen korrektem Zitat und Plagiat schmal.    Warum muss man zitieren?    Was muss man zitieren?    Welche Arten von Zitaten und welche Zitiersysteme gibt es?    Was ist beim korrekten Zitieren zu beachten?    Welche Tools können beim Zitieren helfen?Antworten auf diese Fragen erhalten Sie in diesem Workshop. Ihre neuen Kenntnisse können Sie direkt an praxisnahen Beispielen anwenden und somit zukünftig ungewollte Plagiate vermeiden.",;284;;;;;;;;;;,Universitätsbibliothek,SoSe 2022,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/75/f5/88/00/59/19/11/e8/90/1d/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ed/33/b2/00/95/28/11/ea/b0/89/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/fb/2a/fb/70/95/28/11/ea/90/4f/00/50/56/bd/73/ad;
"Workshop ""Einstieg in die Literaturverwaltung mit Zotero""","Veranstaltung für Teilnehmer/innen ohne Zotero-Vorkenntnisse.Anhand von praktischen Übungen werden die Grundfunktionen des Programms erläutert:    Möglichkeiten zum Datenimport bei der Literaturrecherche    Verwaltung der Quellen im Programm    Zitation im SchreibprogrammDownloadlink: https://www.zotero.org/download/. Grundsätzlich ist Zotero kostenlos und plattformunabhängig (Windows, Mac OS, Linux) nutzbar. Für die Nutzung in Word oder LibreOffice installieren Sie bitte auch das entsprechende Plugin, verfügbar unter https://www.zotero.org/support/word_processor_plugin_installation",;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/8a/a2/1b/80/95/0b/11/ea/ba/5f/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/50/98/73/e0/53/9e/11/ed/8f/17/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/38/d6/65/d0/97/0c/11/ed/b8/a3/00/50/56/bd/73/ae;
"Workshop ""Einstieg in wissenschaftliches Arbeiten mit Word""","In diesem 90-minütigen Workshop werden die Grundlagen der Textverarbeitung mit Microsoft Word im Einklang mit dem Corporate Design der TU Darmstadt erarbeitet. Es erfolgt ein umfangreicher Überblick über alle, zum Verfassen einer einfachen wissenschaftlichen Arbeit relevanten, Grundfunktionen, sowie eine Einführung in ausgewählte weiterführende Themen.Am Ende des Workshops sind Sie in der Lage, selbstständig mit den Arbeiten an Ihrer Thesis, Hausarbeit o.ä. mit dem Corporate Design der TU zu beginnen.",;284;;;;;;;;;;,Universitätsbibliothek,SoSe 2022,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/eb/0f/e7/30/84/8b/11/ea/b1/53/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/07/87/85/10/a0/b8/11/ea/80/6c/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/3e/44/1f/a0/a0/b8/11/ea/93/6e/00/50/56/bd/73/ad;
"Workshop ""Einstieg in wissenschaftliches Arbeiten mit LaTeX""","Veranstaltung für TeilnehmerInnen ohne LaTeX-Vorkenntnisse. In diesem 120-minütigen Workshop werden die Grundlagen der Textverarbeitung mit LaTeX und dem Corporate Design der TU Darmstadt erarbeitet. Ausgerichtet auf MikTex 2.9 und TeXstudio erfolgt ein umfangreicher Überblick über alle, zum Verfassen einer einfachen wissenschaftlichen Arbeit relevanten, Grundfunktionen. Am Ende des Workshops sind Sie in der Lage, selbstständig mit den Arbeiten an Ihrer Thesis, Hausarbeit o.ä. mit dem CD der TU zu beginnen",;284;;;;;;;;;;,Universitätsbibliothek,SoSe 2019,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/17/fd/af/50/c0/c2/11/e8/be/bd/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/2a/0b/00/e0/8a/37/11/ea/90/25/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/60/87/85/30/8a/37/11/ea/bd/81/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/7b/2c/f6/40/8a/37/11/ea/9c/f9/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/7b/a5/f4/70/3c/95/11/ec/b8/a7/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/0f/dd/0d/a0/b0/e4/11/ec/91/c7/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/70/ae/83/c0/b0/e4/11/ec/99/ff/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/7c/2c/8f/d0/b0/e4/11/ec/91/84/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/a3/e6/64/60/b0/e4/11/ec/b5/52/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/b3/af/60/90/b0/e4/11/ec/a7/95/00/50/56/bd/73/ad;
"Workshop ""Fortgeschrittene Literaturrecherche mit Datenbanken""","Für Ihr Studium ist das Recherchieren und Beschaffen von Fachliteratur von zentraler Bedeutung. Aber welche Rechercheinstrumente gibt es für die thematische Recherche? Wie recherchieren Sie nach passender Literatur, die zudem zitierwürdig ist? Wie bewerten Sie Treffer? Wie können Sie auf gedruckte Literatur oder elektronische Volltexte zugreifen? Wie beschaffen Sie Literatur, die nicht in der ULB vorhanden ist? Wie können Sie relevante Treffer weiterverarbeiten?Antworten auf diese Fragen erhalten Sie im Workshop und können Ihre neuen Kenntnisse direkt an praxisnahen Beispielen anwenden.",;284;;;;;;;;;;,Universitätsbibliothek,SoSe 2022,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/0a/c7/00/80/69/c1/11/ea/a4/02/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/2e/a8/24/70/95/13/11/ea/87/34/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/9d/6a/7b/60/95/13/11/ea/99/4b/00/50/56/bd/73/ad;
"Workshop ""Einstieg in die Literaturverwaltung mit Citavi""",Veranstaltung für Teilnehmer/innen ohne Citavi-Vorkenntnisse.Anhand von praktischen Übungen werden die Grundfunktionen des Programms erläutert:    Möglichkeiten zum Datenimport bei der Literaturrecherche    Verwaltung der Quellen im Programm    Zitation im SchreibprogrammCItavi können Sie als Angehörige/r der TU Darmstadt mit einer Kampuslizenz beziehen:https://www.ulb.tu-darmstadt.de/service/literaturverwaltung_start/citavi_ulb/citavi_ulb.de.jsp#textoptmbild,;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/a3/c7/75/c0/fa/4b/11/e9/aa/d2/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/33/6d/84/a0/95/27/11/ea/83/fe/00/50/56/bd/73/ad;
Einstieg in das Forschungsdatenmanagement / Introduction to research data management,"In Ihrer Forschung entsteht eine Vielzahl digitaler Daten und ggf. auch Software. Zudem nutzen Sie vielleicht Daten und Software aus vorherigen Projekten nach. Dabei stellen sich eine Menge Fragen zu Forschungsdatenmanagement, z.B.:    Was regeln die „Leitlinien zum Umgang mit digitalen Forschungsdaten an der TU Darmstadt“?    Wo speichere ich meine Daten sicher und geschützt?    Wie behalte ich den Überblick über meine Daten?    Versteht jemand anderes meine Daten überhaupt?    Wem gehören Forschungsdaten eigentlich und wer darf sie nutzen?",;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/54/15/ac/50/c4/b3/11/ed/9f/68/00/50/56/bd/73/ae;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/88/43/fa/e0/c4/b3/11/ed/ad/6c/00/50/56/bd/73/ae;
"Bibliometrie / Altmetrics - Impact Factor, h-Index = Qualität? / Bibliometrics / Altmetrics – Impact factor, H-index = Quality?","Die Bibliometrie beschäftigt sich mit der quantitativen Analyse von wissenschaftlichen Publikationen mit Hilfe von statistischen Verfahren. Anwendungsbereiche sind neben der Forschungsevaluation (z.B. Rankings) auch die Unterstützung bei Recherchen (z.B. Identifizierung von Forschungstrends). Die Altmetrik erfasst Nutzungskennzahlen von elektronischen Publikationen, wie z.B. Downloads, Views, die Erwähnung in sozialen Netzwerken, etc.    Was genau ist Bibliometrie?    Welche Kennzahlen gibt es und wie werden diese berechnet?    Wo finde ich die Kennzahlen?    Welche Anwendungsgebiete gibt",;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/27/1c/12/40/c4/b1/11/ed/8d/12/00/50/56/bd/73/ad;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ce/cb/9f/60/c4/b1/11/ed/8d/e3/00/50/56/bd/73/ad;
Wer hat was wie wann erschaffen und was darf ich dann damit tun? - Grundlagen Urheberrecht,"Spricht man vom Urheberrecht, denken viele Menschen sofort an Plagiate, Raubkopien, horrende Strafen und das Gefühl, sich auf einem rechtlichen Minenfeld zu bewegen. Doch das muss nicht sein! Ziel des Workshops ist es, einen Einstieg in dieses Thema zu bekommen, zu sehen, was aus welchem Grund erlaubt ist oder warum gerade nicht.    Wie ist das Urheberrecht gestaltet und wie hat es sich entwickelt?    Welche Schrankenregelungen unterstützen das wissenschaftliche Arbeiten?    Was muss ich in Bezug auf Bildrechte beachten?    Was sind Creative Commons-Lizenzen und welche gibt es?    etc..",;284;;;;;;;;;;,Universitätsbibliothek,WiSe 2022/23,;https://olw-material.hrz.tu-darmstadt.de/olw-konv-repository/material/ed/8b/eb/b0/c4/b8/11/ed/bc/4e/00/50/56/bd/73/ae;
